time,vin,vout
2.012799999999999973e-04,7.595351099999999578e-01,3.504071449999999754e-01
2.022799999999999945e-04,7.595538560000000272e-01,3.502189949999999774e-01
2.032799999999999917e-04,7.595722259999999615e-01,3.500350230000000007e-01
2.042799999999999889e-04,7.595902169999999565e-01,3.498552109999999993e-01
2.052800000000000132e-04,7.596078299999999839e-01,3.496795420000000099e-01
2.062800000000000104e-04,7.596250639999999610e-01,3.495079979999999864e-01
2.072800000000000076e-04,7.596419170000000554e-01,3.493405609999999939e-01
2.082800000000000048e-04,7.596583900000000167e-01,3.491772169999999842e-01
2.092800000000000020e-04,7.596744819999999843e-01,3.490179480000000223e-01
2.102799999999999993e-04,7.596901919999999864e-01,3.488627400000000045e-01
2.112799999999999965e-04,7.597055190000000513e-01,3.487115769999999948e-01
2.122799999999999937e-04,7.597204629999999570e-01,3.485644439999999733e-01
2.132799999999999909e-04,7.597350229999999538e-01,3.484213270000000029e-01
2.142799999999999881e-04,7.597491990000000417e-01,3.482822139999999789e-01
2.152800000000000124e-04,7.597629900000000269e-01,3.481470890000000207e-01
2.162800000000000096e-04,7.597763960000000205e-01,3.480159409999999953e-01
2.172800000000000068e-04,7.597894160000000507e-01,3.478887560000000212e-01
2.182800000000000040e-04,7.598020490000000349e-01,3.477655230000000208e-01
2.192800000000000012e-04,7.598142949999999729e-01,3.476462300000000005e-01
2.202799999999999984e-04,7.598261539999999759e-01,3.475308659999999938e-01
2.212799999999999956e-04,7.598376249999999610e-01,3.474194199999999788e-01
2.222799999999999928e-04,7.598487069999999566e-01,3.473118809999999890e-01
2.232799999999999900e-04,7.598594010000000454e-01,3.472082389999999741e-01
2.242799999999999872e-04,7.598697049999999509e-01,3.471084850000000221e-01
2.252800000000000115e-04,7.598796199999999779e-01,3.470126080000000002e-01
2.262800000000000087e-04,7.598891450000000436e-01,3.469206009999999951e-01
2.272800000000000059e-04,7.598982789999999543e-01,3.468324549999999840e-01
2.282800000000000031e-04,7.599070230000000148e-01,3.467481609999999992e-01
2.292800000000000003e-04,7.599153760000000313e-01,3.466677109999999895e-01
2.302799999999999975e-04,7.599233370000000320e-01,3.465910990000000136e-01
2.312799999999999947e-04,7.599309060000000171e-01,3.465183159999999929e-01
2.322799999999999919e-04,7.599380829999999865e-01,3.464493570000000133e-01
2.332799999999999891e-04,7.599448680000000511e-01,3.463842149999999953e-01
2.342800000000000134e-04,7.599512600000000173e-01,3.463228839999999975e-01
2.352800000000000106e-04,7.599572599999999678e-01,3.462653580000000231e-01
2.362800000000000078e-04,7.599628659999999591e-01,3.462116319999999914e-01
2.372800000000000050e-04,7.599680789999999631e-01,3.461617009999999883e-01
2.382800000000000022e-04,7.599728989999999795e-01,3.461155599999999888e-01
2.392799999999999994e-04,7.599773250000000369e-01,3.460732060000000221e-01
2.402799999999999966e-04,7.599813570000000240e-01,3.460346340000000076e-01
2.412799999999999938e-04,7.599849939999999693e-01,3.459998409999999747e-01
2.422799999999999910e-04,7.599882380000000381e-01,3.459688229999999809e-01
2.432799999999999882e-04,7.599910869999999541e-01,3.459415780000000273e-01
2.442799999999999854e-04,7.599935420000000219e-01,3.459181040000000040e-01
2.452800000000000097e-04,7.599956030000000196e-01,3.458983970000000241e-01
2.462799999999999798e-04,7.599972689999999753e-01,3.458824569999999765e-01
2.472800000000000041e-04,7.599985400000000002e-01,3.458702819999999734e-01
2.482799999999999742e-04,7.599994159999999832e-01,3.458618709999999874e-01
2.492799999999999985e-04,7.599998980000000071e-01,3.458572229999999914e-01
2.502800000000000229e-04,7.599999849999999890e-01,3.458563370000000137e-01
2.512799999999999929e-04,7.599996770000000401e-01,3.458592140000000259e-01
2.522800000000000173e-04,7.599989740000000493e-01,3.458658530000000009e-01
2.532799999999999874e-04,7.599978760000000166e-01,3.458762559999999930e-01
2.542800000000000117e-04,7.599963840000000248e-01,3.458904230000000024e-01
2.552799999999999818e-04,7.599944979999999628e-01,3.459083559999999724e-01
2.562800000000000061e-04,7.599922159999999982e-01,3.459300559999999858e-01
2.572799999999999762e-04,7.599895399999999634e-01,3.459555249999999860e-01
2.582800000000000005e-04,7.599864699999999695e-01,3.459847659999999991e-01
2.592800000000000248e-04,7.599830060000000165e-01,3.460177799999999970e-01
2.602799999999999949e-04,7.599791470000000215e-01,3.460545720000000047e-01
2.612800000000000192e-04,7.599748950000000391e-01,3.460951440000000212e-01
2.622799999999999893e-04,7.599702480000000149e-01,3.461395010000000161e-01
2.632800000000000136e-04,7.599652080000000032e-01,3.461876460000000155e-01
2.642799999999999837e-04,7.599597750000000040e-01,3.462395830000000174e-01
2.652800000000000080e-04,7.599539490000000175e-01,3.462953180000000186e-01
2.662799999999999781e-04,7.599477289999999607e-01,3.463548550000000170e-01
2.672800000000000024e-04,7.599411169999999993e-01,3.464182000000000095e-01
2.682800000000000267e-04,7.599341120000000505e-01,3.464853589999999928e-01
2.692799999999999968e-04,7.599267149999999749e-01,3.465563380000000193e-01
2.702800000000000211e-04,7.599189269999999663e-01,3.466311440000000021e-01
2.712799999999999912e-04,7.599107459999999703e-01,3.467097829999999936e-01
2.722800000000000155e-04,7.599021750000000130e-01,3.467922629999999895e-01
2.732799999999999856e-04,7.598932120000000401e-01,3.468785910000000139e-01
2.742800000000000099e-04,7.598838589999999948e-01,3.469687750000000070e-01
2.752799999999999800e-04,7.598741159999999883e-01,3.470628239999999920e-01
2.762800000000000043e-04,7.598639830000000206e-01,3.471607469999999918e-01
2.772799999999999744e-04,7.598534599999999806e-01,3.472625520000000021e-01
2.782799999999999987e-04,7.598425490000000337e-01,3.473682499999999895e-01
2.792800000000000230e-04,7.598312489999999864e-01,3.474778490000000053e-01
2.802799999999999931e-04,7.598195610000000322e-01,3.475913609999999876e-01
2.812800000000000174e-04,7.598074849999999492e-01,3.477087959999999867e-01
2.822799999999999875e-04,7.597950220000000421e-01,3.478301650000000245e-01
2.832800000000000118e-04,7.597821719999999779e-01,3.479554799999999837e-01
2.842799999999999819e-04,7.597689359999999503e-01,3.480847519999999973e-01
2.852800000000000062e-04,7.597553150000000421e-01,3.482179939999999752e-01
2.862799999999999763e-04,7.597413079999999486e-01,3.483552189999999937e-01
2.872800000000000006e-04,7.597269169999999461e-01,3.484964389999999912e-01
2.882800000000000249e-04,7.597121420000000347e-01,3.486416680000000157e-01
2.892799999999999950e-04,7.596969829999999924e-01,3.487909209999999760e-01
2.902800000000000193e-04,7.596814410000000128e-01,3.489442110000000041e-01
2.912799999999999894e-04,7.596655180000000396e-01,3.491015539999999806e-01
2.922800000000000138e-04,7.596492120000000181e-01,3.492629640000000091e-01
2.932799999999999838e-04,7.596325259999999746e-01,3.494284579999999973e-01
2.942800000000000082e-04,7.596154600000000201e-01,3.495980519999999925e-01
2.952799999999999783e-04,7.595980140000000436e-01,3.497717610000000144e-01
2.962800000000000026e-04,7.595801890000000167e-01,3.499496049999999969e-01
2.972800000000000269e-04,7.595619860000000223e-01,3.501315979999999883e-01
2.982799999999999970e-04,7.595434049999999493e-01,3.503177610000000053e-01
2.992800000000000213e-04,7.595244469999999914e-01,3.505081119999999828e-01
3.002799999999999914e-04,7.595051139999999812e-01,3.507026690000000224e-01
3.012800000000000157e-04,7.594854049999999468e-01,3.509014509999999754e-01
3.022799999999999858e-04,7.594653220000000537e-01,3.511044799999999966e-01
3.032800000000000101e-04,7.594448649999999690e-01,3.513117749999999928e-01
3.042799999999999802e-04,7.594240359999999690e-01,3.515233580000000080e-01
3.052800000000000045e-04,7.594028339999999710e-01,3.517392500000000033e-01
3.062799999999999746e-04,7.593812610000000296e-01,3.519594730000000227e-01
3.072799999999999989e-04,7.593593170000000336e-01,3.521840489999999990e-01
3.082800000000000232e-04,7.593370050000000093e-01,3.524130019999999752e-01
3.092799999999999933e-04,7.593143230000000132e-01,3.526463559999999942e-01
3.102800000000000176e-04,7.592912739999999605e-01,3.528841349999999877e-01
3.112799999999999877e-04,7.592678579999999622e-01,3.531263640000000259e-01
3.122800000000000120e-04,7.592440759999999900e-01,3.533730669999999852e-01
3.132799999999999821e-04,7.592199299999999873e-01,3.536242720000000173e-01
3.142800000000000064e-04,7.591954189999999825e-01,3.538800040000000258e-01
3.152799999999999765e-04,7.591705450000000299e-01,3.541402909999999959e-01
3.162800000000000008e-04,7.591453089999999904e-01,3.544051610000000241e-01
3.172800000000000251e-04,7.591197119999999465e-01,3.546746419999999844e-01
3.182799999999999952e-04,7.590937559999999529e-01,3.549487640000000277e-01
3.192800000000000195e-04,7.590674400000000377e-01,3.552275549999999726e-01
3.202799999999999896e-04,7.590407660000000334e-01,3.555110459999999972e-01
3.212800000000000139e-04,7.590137350000000227e-01,3.557992689999999736e-01
3.222799999999999840e-04,7.589863479999999774e-01,3.560922550000000242e-01
3.232800000000000083e-04,7.589586069999999518e-01,3.563900369999999929e-01
3.242799999999999784e-04,7.589305119999999460e-01,3.566926469999999738e-01
3.252800000000000027e-04,7.589020640000000428e-01,3.570001190000000046e-01
3.262800000000000270e-04,7.588732649999999635e-01,3.573124890000000109e-01
3.272799999999999971e-04,7.588441160000000130e-01,3.576297900000000030e-01
3.282800000000000214e-04,7.588146180000000518e-01,3.579520600000000163e-01
3.292799999999999915e-04,7.587847709999999690e-01,3.582793349999999766e-01
3.302800000000000158e-04,7.587545780000000128e-01,3.586116520000000030e-01
3.312799999999999859e-04,7.587240389999999612e-01,3.589490510000000190e-01
3.322800000000000102e-04,7.586931559999999797e-01,3.592915689999999773e-01
3.332799999999999803e-04,7.586619289999999571e-01,3.596392480000000225e-01
3.342800000000000047e-04,7.586303610000000308e-01,3.599921269999999951e-01
3.352799999999999747e-04,7.585984510000000069e-01,3.603502490000000114e-01
3.362799999999999991e-04,7.585662029999999945e-01,3.607136550000000219e-01
3.372800000000000234e-04,7.585336160000000216e-01,3.610823899999999753e-01
3.382799999999999935e-04,7.585006920000000319e-01,3.614564969999999877e-01
3.392800000000000178e-04,7.584674329999999687e-01,3.618360219999999794e-01
3.402799999999999879e-04,7.584338390000000540e-01,3.622210100000000099e-01
3.412800000000000122e-04,7.583999129999999811e-01,3.626115080000000268e-01
3.422799999999999823e-04,7.583656549999999719e-01,3.630075660000000037e-01
