vin,vout,dvout_dvin
2.640000000000000124e-01,1.496559659999999958e+00,-3.546499999993102392e-02
2.650000000000000133e-01,1.496523920000000007e+00,-3.601000000003296009e-02
2.660000000000000142e-01,1.496487640000000008e+00,-3.655500000002120942e-02
2.670000000000000151e-01,1.496450810000000020e+00,-3.710999999998421117e-02
2.680000000000000160e-01,1.496413420000000105e+00,-3.766999999993458914e-02
2.690000000000000169e-01,1.496375470000000041e+00,-3.822999999999865395e-02
2.700000000000000178e-01,1.496336960000000049e+00,-3.879500000005009497e-02
2.710000000000000187e-01,1.496297879999999969e+00,-3.936499999997522536e-02
2.720000000000000195e-01,1.496258230000000022e+00,-3.993500000001404260e-02
2.730000000000000204e-01,1.496218009999999987e+00,-4.051000000004023605e-02
2.740000000000000213e-01,1.496177209999999924e+00,-4.108999999994011887e-02
2.750000000000000222e-01,1.496135830000000055e+00,-4.167500000005475158e-02
2.760000000000000231e-01,1.496093859999999998e+00,-4.226000000005569746e-02
2.770000000000000240e-01,1.496051309999999912e+00,-4.284999999993033271e-02
2.780000000000000249e-01,1.496008159999999920e+00,-4.345000000000709406e-02
2.790000000000000258e-01,1.495964410000000022e+00,-4.404500000009647920e-02
2.800000000000000266e-01,1.495920069999999935e+00,-4.464499999994586688e-02
2.810000000000000275e-01,1.495875120000000003e+00,-4.525499999977000698e-02
2.819999999999999729e-01,1.495829560000000003e+00,-4.586500000027626811e-02
2.829999999999999738e-01,1.495783389999999935e+00,-4.647999999997409759e-02
2.839999999999999747e-01,1.495736600000000083e+00,-4.709500000001298758e-02
2.849999999999999756e-01,1.495689199999999941e+00,-4.771500000003925379e-02
2.859999999999999765e-01,1.495641170000000075e+00,-4.834499999992658559e-02
2.869999999999999774e-01,1.495592510000000042e+00,-4.897500000004129106e-02
2.879999999999999782e-01,1.495543220000000062e+00,-4.960500000015599653e-02
2.889999999999999791e-01,1.495493299999999914e+00,-5.023999999991701770e-02
2.899999999999999800e-01,1.495442740000000104e+00,-5.087999999989278876e-02
2.909999999999999809e-01,1.495391539999999964e+00,-5.152500000008330971e-02
2.919999999999999818e-01,1.495339689999999999e+00,-5.218000000002120942e-02
2.929999999999999827e-01,1.495287180000000049e+00,-5.282999999997173290e-02
2.939999999999999836e-01,1.495234029999999992e+00,-5.348500000002331944e-02
2.949999999999999845e-01,1.495180210000000010e+00,-5.414500000006228220e-02
2.959999999999999853e-01,1.495125739999999981e+00,-5.480999999997493433e-02
2.969999999999999862e-01,1.495070590000000088e+00,-5.547999999998864951e-02
2.979999999999999871e-01,1.495014779999999988e+00,-5.615000000000236469e-02
2.989999999999999880e-01,1.494958290000000023e+00,-5.682999999999083229e-02
2.999999999999999889e-01,1.494901119999999972e+00,-5.750999999997929990e-02
3.009999999999999898e-01,1.494843270000000057e+00,-5.819500000006883056e-02
3.019999999999999907e-01,1.494784729999999895e+00,-5.888500000003205059e-02
3.029999999999999916e-01,1.494725499999999929e+00,-5.957499999988158379e-02
3.039999999999999925e-01,1.494665579999999938e+00,-6.026999999994586688e-02
3.049999999999999933e-01,1.494604959999999982e+00,-6.097500000009858923e-02
3.059999999999999942e-01,1.494543629999999901e+00,-6.168000000002393790e-02
3.069999999999999951e-01,1.494481600000000077e+00,-6.238999999993666279e-02
3.079999999999999960e-01,1.494418849999999965e+00,-6.310500000006413757e-02
3.089999999999999969e-01,1.494355389999999950e+00,-6.381999999996423867e-02
3.099999999999999978e-01,1.494291210000000092e+00,-6.453999999996540282e-02
3.109999999999999987e-01,1.494226309999999946e+00,-6.526499999995394319e-02
3.119999999999999996e-01,1.494160680000000019e+00,-6.600000000003092282e-02
3.130000000000000004e-01,1.494094309999999926e+00,-6.673499999999421561e-02
3.140000000000000013e-01,1.494027210000000050e+00,-6.747499999994488462e-02
3.150000000000000022e-01,1.493959360000000069e+00,-6.822000000011030352e-02
3.160000000000000031e-01,1.493890769999999923e+00,-6.896500000004834874e-02
3.170000000000000040e-01,1.493821429999999895e+00,-6.971499999997377017e-02
3.180000000000000049e-01,1.493751339999999983e+00,-7.046999999988656782e-02
3.190000000000000058e-01,1.493680490000000027e+00,-7.123499999988780473e-02
3.200000000000000067e-01,1.493608870000000088e+00,-7.200000000000272848e-02
3.210000000000000075e-01,1.493536490000000105e+00,-7.277000000010502845e-02
3.220000000000000084e-01,1.493463329999999978e+00,-7.354499999996733095e-02
3.230000000000000093e-01,1.493389400000000089e+00,-7.431999999994332029e-02
3.240000000000000102e-01,1.493314690000000056e+00,-7.510500000012143573e-02
3.250000000000000111e-01,1.493239189999999939e+00,-7.589500000005955371e-02
3.260000000000000120e-01,1.493162899999999960e+00,-7.668499999999767169e-02
3.270000000000000129e-01,1.493085819999999897e+00,-7.747999999992316589e-02
3.280000000000000138e-01,1.493007940000000033e+00,-7.828499999993709935e-02
3.290000000000000147e-01,1.492929249999999985e+00,-7.909000000006471964e-02
3.300000000000000155e-01,1.492849759999999915e+00,-7.989499999996496626e-02
3.310000000000000164e-01,1.492769460000000104e+00,-8.071499999994102836e-02
3.320000000000000173e-01,1.492688330000000008e+00,-8.153500000014446414e-02
3.330000000000000182e-01,1.492606389999999950e+00,-8.235500000000683940e-02
3.340000000000000191e-01,1.492523620000000051e+00,-8.318499999984396709e-02
3.350000000000000200e-01,1.492440020000000089e+00,-8.402000000012321834e-02
3.360000000000000209e-01,1.492355579999999904e+00,-8.486000000016247213e-02
3.370000000000000218e-01,1.492270299999999938e+00,-8.569999999997435225e-02
3.380000000000000226e-01,1.492184179999999971e+00,-8.654499999988729542e-02
3.390000000000000235e-01,1.492097210000000063e+00,-8.739999999988867785e-02
3.400000000000000244e-01,1.492009380000000052e+00,-8.826000000010481017e-02
3.410000000000000253e-01,1.491920689999999938e+00,-8.912000000009356881e-02
3.420000000000000262e-01,1.491831139999999944e+00,-8.998499999995601684e-02
3.430000000000000271e-01,1.491740719999999909e+00,-9.085999999990690412e-02
3.439999999999999725e-01,1.491649419999999893e+00,-9.173500000008516508e-02
3.449999999999999734e-01,1.491557250000000057e+00,-9.261499999990974175e-02
3.459999999999999742e-01,1.491464190000000078e+00,-9.350500000005013135e-02
3.469999999999999751e-01,1.491370239999999958e+00,-9.438999999997577106e-02
3.479999999999999760e-01,1.491275410000000079e+00,-9.528499999998985004e-02
3.489999999999999769e-01,1.491179669999999957e+00,-9.619000000009236828e-02
3.499999999999999778e-01,1.491083029999999976e+00,-9.709499999996751285e-02
3.509999999999999787e-01,1.490985479999999974e+00,-9.800999999993109668e-02
3.519999999999999796e-01,1.490887010000000013e+00,-9.892500000000836735e-02
3.529999999999999805e-01,1.490787630000000030e+00,-9.983999999997195118e-02
3.539999999999999813e-01,1.490687330000000088e+00,-1.007650000000239743e-01
3.549999999999999822e-01,1.490586100000000025e+00,-1.017000000001644366e-01
3.559999999999999831e-01,1.490483929999999901e+00,-1.026349999999638385e-01
3.569999999999999840e-01,1.490380830000000101e+00,-1.035749999998643034e-01
3.579999999999999849e-01,1.490276780000000079e+00,-1.045249999999668944e-01
3.589999999999999858e-01,1.490171780000000057e+00,-1.054750000000694854e-01
3.599999999999999867e-01,1.490065830000000036e+00,-1.064300000000457658e-01
3.609999999999999876e-01,1.489958920000000075e+00,-1.073900000000094224e-01
3.619999999999999885e-01,1.489851049999999955e+00,-1.083549999999604552e-01
3.629999999999999893e-01,1.489742209999999956e+00,-1.093299999999999272e-01
3.639999999999999902e-01,1.489632389999999917e+00,-1.103100000000267755e-01
3.649999999999999911e-01,1.489521590000000062e+00,-1.112899999999399370e-01
3.659999999999999920e-01,1.489409809999999945e+00,-1.122749999999541615e-01
3.669999999999999929e-01,1.489297040000000072e+00,-1.132699999999431384e-01
3.679999999999999938e-01,1.489183270000000059e+00,-1.142700000000331784e-01
3.689999999999999947e-01,1.489068499999999906e+00,-1.152750000001105946e-01
3.699999999999999956e-01,1.488952719999999896e+00,-1.162800000000743239e-01
3.709999999999999964e-01,1.488835939999999969e+00,-1.172949999998991188e-01
3.719999999999999973e-01,1.488718130000000084e+00,-1.183149999999386637e-01
3.729999999999999982e-01,1.488599309999999898e+00,-1.193400000000792716e-01
3.739999999999999991e-01,1.488479450000000037e+00,-1.203749999999672582e-01
3.750000000000000000e-01,1.488358559999999997e+00,-1.214099999999689317e-01
3.760000000000000009e-01,1.488236630000000060e+00,-1.224500000000716682e-01
3.770000000000000018e-01,1.488113660000000005e+00,-1.234950000000480941e-01
3.780000000000000027e-01,1.487989639999999891e+00,-1.245499999999992724e-01
