 time            v(vin)          v(vout)        
 3.67280000e-04  7.57405607e-01  3.74876810e-01 
 3.68280000e-04  7.57363239e-01  3.75437677e-01 
 3.69280000e-04  7.57320580e-01  3.76005813e-01 
 3.70280000e-04  7.57277632e-01  3.76581299e-01 
 3.71280000e-04  7.57234397e-01  3.77164217e-01 
 3.72280000e-04  7.57190876e-01  3.77754651e-01 
 3.73280000e-04  7.57147071e-01  3.78352688e-01 
 3.74280000e-04  7.57102984e-01  3.78958413e-01 
 3.75280000e-04  7.57058617e-01  3.79571915e-01 
 3.76280000e-04  7.57013971e-01  3.80193285e-01 
 3.77280000e-04  7.56969048e-01  3.80822612e-01 
 3.78280000e-04  7.56923850e-01  3.81459991e-01 
 3.79280000e-04  7.56878379e-01  3.82105516e-01 
 3.80280000e-04  7.56832636e-01  3.82759282e-01 
 3.81280000e-04  7.56786623e-01  3.83421387e-01 
 3.82280000e-04  7.56740343e-01  3.84091929e-01 
 3.83280000e-04  7.56693796e-01  3.84771011e-01 
 3.84280000e-04  7.56646985e-01  3.85458732e-01 
 3.85280000e-04  7.56599912e-01  3.86155198e-01 
 3.86280000e-04  7.56552578e-01  3.86860512e-01 
 3.87280000e-04  7.56504985e-01  3.87574783e-01 
 3.88280000e-04  7.56457136e-01  3.88298117e-01 
 3.89280000e-04  7.56409032e-01  3.89030625e-01 
 3.90280000e-04  7.56360674e-01  3.89772417e-01 
 3.91280000e-04  7.56312066e-01  3.90523606e-01 
 3.92280000e-04  7.56263208e-01  3.91284307e-01 
 3.93280000e-04  7.56214104e-01  3.92054635e-01 
 3.94280000e-04  7.56164753e-01  3.92834707e-01 
 3.95280000e-04  7.56115160e-01  3.93624641e-01 
 3.96280000e-04  7.56065325e-01  3.94424557e-01 
 3.97280000e-04  7.56015251e-01  3.95234576e-01 
 3.98280000e-04  7.55964939e-01  3.96054820e-01 
 3.99280000e-04  7.55914391e-01  3.96885413e-01 
 4.00280000e-04  7.55863610e-01  3.97726481e-01 
 4.01280000e-04  7.55812598e-01  3.98578148e-01 
